usuario,genero,minutos_reproducidos
u04071,Accion,76
u09663,Accion,101
u00581,Drama,99
u07005,Drama,75
u08131,Comedia,5
u03148,Comedia,41
u04250,Accion,94
u01680,Accion,93
u03507,Suspenso,114
u07254,Comedia,57
u02745,Accion,114
u09436,Documental,60
u05189,Accion,140
u02142,Comedia,25
u06618,Documental,56
u02480,Accion,119
u06485,Documental,64
u09828,Terror,83
u07422,Comedia,17
u09950,Drama,91
u04453,Drama,153
u05882,Suspenso,125
u06666,Accion,83
u02850,Suspenso,123
u07391,Documental,5
u06906,Comedia,69
u02490,Accion,171
u09824,Accion,149
u09208,Comedia,28
u09541,Accion,168
u04612,Accion,101
u02840,Drama,195
u08528,Comedia,20
u05879,Romance,79
u09088,Comedia,47
u06304,Accion,57
u00852,Accion,68
u01688,Terror,82
u06834,Drama,134
u02428,Terror,75
u09761,Comedia,37
u04001,Romance,96
u05053,Accion,98
u02739,Accion,105
u05733,Terror,120
u05388,Terror,121
u08003,Drama,85
u05537,Accion,116
u03914,Accion,106
u01067,Accion,84
u07724,Drama,186
u04381,Terror,89
u04108,Terror,93
u05727,Suspenso,85
u03374,Accion,163
u08946,Drama,102
u02083,Accion,157
u08968,Drama,125
u06749,Terror,108
u09818,Terror,89
u00418,Comedia,65
u08307,Comedia,65
u08809,Romance,65
u03975,Suspenso,111
u03268,Accion,112
u00826,Drama,178
u07669,Accion,118
u05746,Drama,118
u09709,Drama,153
u00413,Comedia,52
u07544,Comedia,35
u07588,Suspenso,138
u00729,Accion,161
u07165,Terror,54
u08868,Comedia,54
u05989,Suspenso,95
u02505,Accion,179
u02968,Accion,115
u02787,Accion,70
u01123,Romance,120
u04080,Comedia,25
u01572,Drama,131
u05074,Accion,130
u05105,Accion,41
u02144,Drama,128
u09880,Comedia,41
u06807,Romance,104
u07358,Comedia,49
u03441,Accion,140
u03767,Accion,136
u05645,Accion,130
u02915,Comedia,106
u04969,Accion,67
u05918,Comedia,5
u08788,Suspenso,129
u00729,Accion,193
u01366,Suspenso,45
u04493,Comedia,43
u00699,Romance,82
u07187,Terror,71
u00396,Accion,77
u07401,Romance,97
u08083,Accion,155
u04172,Comedia,93
u04361,Documental,88
u02503,Accion,80
u00718,Drama,153
u02783,Documental,58
u04947,Terror,88
u05487,Terror,94
u08336,Drama,129
u04981,Drama,147
u07267,Romance,115
u04492,Drama,123
u07193,Terror,112
u05589,Terror,75
u07652,Drama,174
u03637,Suspenso,70
u01168,Accion,116
u01063,Comedia,35
u02157,Drama,190
u07861,Accion,86
u05162,Romance,73
u05306,Suspenso,122
u06542,Accion,134
u04730,Comedia,51
u09349,Terror,67
u07331,Comedia,38
u05335,Suspenso,111
u08925,Accion,148
u04331,Suspenso,95
u08011,Comedia,57
u06802,Comedia,5
u04847,Accion,128
u06732,Documental,51
u07242,Comedia,5
u00954,Accion,96
u02540,Accion,168
u07057,Drama,126
u01543,Accion,47
u05294,Comedia,61
u01192,Romance,124
u06314,Drama,54
u06939,Accion,146
u02682,Comedia,72
u09410,Accion,61
u01541,Suspenso,89
u06173,Accion,153
u05542,Accion,149
u09581,Documental,74
u01366,Drama,125
u08692,Comedia,70
u09873,Romance,57
u08703,Drama,123
u07495,Comedia,23
u04313,Suspenso,99
u01325,Comedia,61
u09348,Comedia,105
u03142,Suspenso,82
u07420,Romance,95
u03487,Drama,140
u01811,Drama,154
u06589,Accion,100
u02924,Drama,168
u05302,Comedia,61
u04187,Drama,140
u08906,Terror,90
u05978,Drama,117
u04269,Accion,110
u04749,Comedia,31
u04850,Accion,91
u09436,Accion,94
u03710,Accion,127
u09274,Romance,80
u06620,Terror,130
u08648,Romance,91
u09087,Drama,86
u09577,Accion,156
u03073,Accion,140
u06531,Accion,147
u00505,Suspenso,78
u01215,Accion,168
u01532,Accion,135
u07577,Suspenso,87
u00824,Accion,152
u00929,Drama,92
u05030,Comedia,24
u00134,Romance,58
u02106,Terror,66
u03628,Comedia,38
u06317,Suspenso,98
u01853,Terror,79
u04911,Suspenso,78
u04176,Documental,39
u05349,Accion,95
u09443,Accion,127
u06191,Drama,121
u01257,Drama,86
u03377,Suspenso,166
u05646,Accion,117
u03487,Comedia,37
u03585,Drama,98
u09589,Comedia,45
u08054,Accion,101
u03331,Accion,98
u02704,Accion,156
u08663,Drama,164
u08121,Comedia,13
u07115,Accion,152
u01354,Terror,81
u05064,Suspenso,114
u08550,Accion,174
u07576,Terror,113
u00668,Accion,93
u04469,Suspenso,126
u09338,Documental,81
u06820,Accion,92
u03720,Suspenso,136
u02746,Accion,91
u07484,Documental,46
u00540,Comedia,35
u04965,Drama,143
u04836,Terror,68
u03776,Accion,149
u06043,Comedia,5
u07103,Accion,132
u07313,Drama,144
u05321,Suspenso,111
u06133,Suspenso,158
u07892,Drama,130
u02780,Terror,90
u00925,Accion,123
u01582,Terror,114
u07715,Accion,17
u03325,Accion,43
u05714,Drama,157
u07027,Comedia,52
u00256,Comedia,24
u04805,Suspenso,119
u01839,Drama,163
u00010,Comedia,53
u02872,Comedia,30
u08990,Suspenso,130
u07410,Drama,137
u07419,Suspenso,123
u05125,Accion,119
u01016,Drama,108
u02194,Comedia,34
u08416,Drama,158
u07450,Drama,93
u04159,Drama,172
u03926,Drama,64
u06971,Comedia,34
u06939,Romance,94
u04785,Comedia,31
u04001,Comedia,28
u01634,Accion,160
u07267,Comedia,58
u08703,Accion,148
u00385,Terror,92
u00405,Terror,84
u08176,Comedia,36
u02001,Documental,75
u09861,Comedia,55
u05990,Suspenso,120
u01461,Comedia,118
u07191,Comedia,34
u07141,Terror,83
u03637,Drama,131
u04810,Drama,102
u04179,Suspenso,108
u07246,Terror,122
u06601,Romance,142
u05998,Accion,100
u02049,Accion,145
u04781,Documental,67
u00717,Comedia,47
u07940,Accion,156
u05566,Accion,120
u04545,Terror,97
u04977,Drama,185
u03420,Accion,140
u07240,Accion,135
u09767,Comedia,89
u00250,Accion,200
u08866,Accion,109
u00771,Drama,119
u04364,Comedia,56
u01078,Accion,86
u08428,Comedia,59
u08581,Romance,95
u07902,Accion,41
u04859,Accion,51
u06545,Comedia,30
u04720,Accion,108
u02815,Drama,134
u03375,Suspenso,90
u01253,Accion,96
u06997,Drama,140
u04674,Suspenso,116
u04531,Romance,81
u06882,Drama,97
u06950,Accion,175
u09522,Drama,155
u06242,Terror,91
u08018,Terror,74
u06942,Romance,98
u09551,Drama,134
u07003,Comedia,58
u01332,Drama,124
u04262,Comedia,65
u07649,Accion,90
u09551,Terror,88
u05116,Accion,113
u04638,Accion,32
u04855,Comedia,52
u03178,Romance,115
u07731,Drama,210
u02181,Accion,5
u04893,Romance,90
u07044,Drama,77
u00138,Comedia,20
u06328,Terror,79
u03473,Comedia,33
u05450,Terror,58
u02833,Accion,134
u03580,Accion,204
u05972,Comedia,39
u04165,Comedia,67
u07942,Drama,58
u05570,Suspenso,129
u04301,Romance,135
u06270,Terror,42
u03819,Comedia,45
u01907,Terror,106
u06255,Drama,153
u00761,Romance,104
u07831,Terror,65
u07351,Accion,138
u06239,Accion,136
u06091,Drama,122
u06032,Comedia,57
u07688,Accion,96
u09092,Suspenso,178
u09912,Comedia,11
u08473,Accion,109
u01888,Comedia,66
u03267,Terror,87
u00667,Drama,141
u04189,Comedia,51
u00672,Comedia,11
u06778,Accion,78
u07571,Romance,119
u07957,Comedia,48
u05125,Romance,73
u05586,Suspenso,137
u04778,Comedia,45
u03901,Terror,76
u06678,Comedia,31
u06982,Documental,73
u06377,Drama,31
u00524,Drama,147
u02394,Drama,134
u02594,Accion,67
u09946,Comedia,5
u07241,Terror,111
u06938,Accion,98
u06191,Comedia,23
u05241,Drama,123
u06494,Documental,20
u02879,Romance,96
u04144,Suspenso,109
u03645,Drama,143
u04433,Suspenso,75
u01277,Drama,142
u05812,Comedia,73
u00303,Accion,139
u00639,Romance,65
u00056,Drama,79
u08718,Terror,60
u08151,Accion,120
u02126,Comedia,78
u00365,Documental,84
u06810,Terror,76
u04622,Suspenso,109
u05127,Comedia,33
u05123,Accion,98
u01647,Comedia,39
u00919,Comedia,24
u02798,Comedia,29
u06507,Drama,118
u05871,Accion,98
u01532,Romance,139
u08173,Romance,121
u03346,Comedia,44
u07674,Drama,178
u06950,Drama,148
u06883,Accion,79
u01907,Romance,87
u03087,Accion,98
u08153,Drama,142
u05751,Comedia,64
u08906,Suspenso,84
u01063,Drama,125
u01977,Suspenso,97
u01297,Comedia,33
u06230,Accion,87
u07642,Accion,111
u00126,Suspenso,96
u04633,Comedia,80
u06289,Comedia,66
u03597,Comedia,52
u06169,Comedia,102
u09796,Suspenso,93
u07562,Comedia,33
u08259,Drama,105
u00233,Comedia,22
u09362,Comedia,58
u06372,Comedia,35
u04207,Drama,127
u09686,Accion,138
u07944,Comedia,29
u06892,Accion,162
u06739,Suspenso,124
u02473,Accion,155
u02740,Suspenso,93
u05402,Accion,122
u01762,Suspenso,130
u00877,Drama,145
u03813,Drama,112
u09505,Accion,105
u01461,Accion,54
u01734,Terror,101
u01606,Drama,46
u05623,Drama,82
u06768,Accion,169
u06987,Comedia,27
u03518,Drama,103
u03736,Accion,142
u09353,Documental,99
u08435,Suspenso,142
u02591,Comedia,44
u01064,Drama,147
u04325,Drama,154
u09112,Accion,124
u05343,Comedia,20
u00006,Accion,119
u07490,Comedia,34
u08660,Romance,80
u08196,Drama,116
u05967,Accion,118
u08838,Terror,99
u00118,Documental,51
u02552,Accion,66
u05561,Terror,93
u04290,Suspenso,110
u00847,Suspenso,132
u06317,Terror,102
u06470,Romance,109
u09334,Accion,91
u08916,Accion,121
u00225,Accion,118
u04209,Accion,114
u06284,Accion,77
u02049,Suspenso,147
u06234,Romance,74
u09766,Comedia,24
u01829,Romance,87
u01918,Comedia,24
u04235,Accion,145
u06989,Terror,102
u02027,Comedia,10
u03745,Accion,93
u09094,Documental,63
u00010,Drama,143
u00261,Drama,146
u06039,Documental,5
u09866,Suspenso,64
u02220,Comedia,49
u07042,Accion,96
u02061,Accion,46
u05288,Comedia,52
u01620,Documental,82
u08513,Suspenso,76
u01343,Accion,117
u02833,Documental,36
u02825,Accion,145
u01995,Terror,95
u03491,Accion,137
u09311,Accion,177
u07985,Drama,128
u01605,Terror,84
u00236,Comedia,38
u01909,Suspenso,103
u08568,Romance,138
u03531,Accion,100
u05257,Terror,92
u02636,Accion,107
u08163,Comedia,18
u09763,Suspenso,62
u02561,Comedia,112
u05416,Romance,123
u03392,Comedia,28
u05952,Comedia,57
u05469,Documental,84
u08008,Comedia,35
u09065,Terror,71
u09445,Drama,143
u06414,Accion,105
u06942,Drama,100
u09507,Accion,32
u04821,Terror,97
u02899,Drama,107
u07547,Accion,118
u00078,Terror,53
u07578,Suspenso,131
u04228,Terror,100
u00601,Comedia,5
u01066,Terror,109
u02137,Drama,65
u09511,Drama,43
u06944,Drama,133
u07805,Drama,147
u06566,Suspenso,41
u05985,Documental,5
u05143,Terror,95
u04671,Comedia,35
u02191,Comedia,53
u09185,Accion,113
u02713,Accion,173
u02193,Accion,100
u01249,Documental,32
u04034,Terror,67
u01998,Accion,129
u03688,Drama,99
u04019,Accion,167
u01971,Comedia,41
u08390,Drama,143
u05766,Drama,96
u01203,Suspenso,117
u08136,Accion,70
u05568,Drama,121
u07668,Drama,139
u05743,Romance,91
u05789,Drama,132
u05409,Comedia,56
u08670,Comedia,45
u09447,Accion,191
u00923,Documental,63
u00420,Drama,136
u02205,Comedia,51
u01121,Terror,84
u00951,Comedia,81
u02337,Drama,80
u05374,Accion,115
u02244,Suspenso,109
u02646,Romance,100
u04613,Suspenso,122
u01866,Accion,143
u06029,Suspenso,168
u07327,Comedia,5
u06372,Romance,76
u06360,Comedia,8
u07864,Accion,176
u03229,Suspenso,68
u03720,Accion,148
u02372,Drama,150
u02892,Comedia,26
u03757,Terror,91
u04226,Terror,77
u00095,Terror,62
u02675,Accion,163
u06899,Suspenso,52
u00794,Comedia,5
u02117,Accion,159
u05780,Comedia,45
u06167,Romance,61
u00815,Accion,141
u00346,Suspenso,92
u08555,Romance,117
u02444,Accion,115
u07784,Suspenso,145
u00985,Accion,86
u07791,Accion,127
u09832,Drama,140
u00828,Drama,89
u03532,Accion,127
u07148,Drama,115
u04452,Comedia,41
u03877,Accion,92
u05960,Drama,129
u00127,Drama,86
u03178,Accion,70
u08796,Terror,79
u06025,Accion,85
u05110,Drama,126
u04147,Comedia,63
u07197,Comedia,25
u03369,Romance,105
u03798,Terror,107
u01793,Accion,199
u05733,Suspenso,117
u03477,Comedia,5
u03418,Comedia,92
u01646,Drama,88
u09398,Accion,96
u03031,Romance,105
u02873,Comedia,20
u03073,Comedia,32
u01855,Accion,77
u04022,Suspenso,155
u04663,Romance,68
u06515,Suspenso,125
u05032,Accion,108
u02709,Terror,141
u07113,Accion,87
u09525,Accion,77
u08394,Drama,110
u03508,Terror,40
u06457,Accion,163
u04213,Drama,136
u07971,Suspenso,93
u08767,Accion,118
u00537,Comedia,5
u01626,Drama,179
u07974,Suspenso,37
u08578,Terror,63
u08071,Terror,86
u08667,Terror,72
u08610,Drama,160
u06491,Drama,118
u03601,Comedia,5
u06784,Drama,138
u09147,Suspenso,95
u04972,Drama,153
u01206,Documental,99
u01991,Accion,61
u05300,Comedia,67
u03573,Accion,67
u05976,Comedia,79
u06321,Suspenso,122
u04381,Suspenso,65
u04758,Accion,82
u02714,Romance,78
u05589,Suspenso,119
u00967,Romance,110
u04945,Comedia,36
u03433,Drama,138
u00689,Accion,133
u04244,Comedia,40
u03702,Accion,110
u08534,Suspenso,176
u05183,Drama,126
u09917,Accion,163
u06705,Suspenso,23
u04423,Accion,84
u09985,Romance,66
u01760,Accion,94
u09182,Terror,91
u02483,Drama,78
u08059,Suspenso,141
u00952,Drama,44
u08915,Comedia,5
u02080,Comedia,74
u02718,Romance,103
u04525,Comedia,12
u09693,Suspenso,116
u08478,Terror,122
u07312,Drama,80
u07187,Documental,54
u02066,Drama,188
u00769,Terror,102
u05491,Suspenso,133
u06646,Accion,146
u05084,Documental,77
u05233,Comedia,20
u05798,Terror,76
u09139,Romance,99
u04927,Terror,88
u06017,Accion,90
u03336,Comedia,27
u08039,Comedia,57
u04874,Drama,139
u01482,Drama,82
u06306,Suspenso,120
u03452,Suspenso,98
u00055,Accion,101
u07644,Comedia,40
u03463,Comedia,47
u00833,Accion,76
u05955,Comedia,19
u08520,Comedia,12
u07222,Drama,121
u03311,Accion,80
u03301,Comedia,74
u06723,Drama,128
u07219,Suspenso,98
u07777,Terror,81
u03676,Comedia,55
u03055,Comedia,65
u07971,Accion,167
u02144,Accion,113
u05208,Suspenso,91
u09504,Suspenso,147
u02539,Accion,94
u04548,Suspenso,124
u05620,Drama,146
u08357,Suspenso,22
u06613,Drama,134
u05006,Accion,26
u00823,Comedia,31
u00944,Comedia,25
u06151,Terror,79
u04426,Suspenso,117
u08967,Terror,86
u02199,Comedia,5
u04243,Terror,91
u03696,Comedia,46
u03453,Documental,54
u09107,Accion,131
u01309,Terror,102
u04178,Accion,135
u08706,Comedia,45
u06853,Terror,93
u06036,Terror,80
u03595,Accion,101
u04842,Terror,81
u01410,Accion,150
u04567,Documental,36
u04492,Drama,137
u01556,Accion,64
u00805,Accion,151
u01280,Accion,86
u07084,Accion,125
u05987,Drama,93
u05620,Accion,109
u01388,Comedia,73
u02680,Accion,126
u02107,Terror,54
u08174,Drama,185
u04224,Drama,127
u04832,Documental,123
u02769,Comedia,42
u03187,Accion,118
u02574,Documental,34
u02600,Accion,110
u04034,Suspenso,89
u08429,Accion,135
u01305,Terror,73
u07369,Comedia,23
u05878,Suspenso,108
u01302,Terror,46
u02542,Accion,162
u02052,Terror,100
u06810,Accion,145
u08634,Accion,131
u08997,Accion,117
u00075,Accion,17
u06982,Terror,88
u05476,Documental,116
u08233,Terror,54
u07185,Terror,125
u05797,Suspenso,125
u07142,Suspenso,107
u01623,Comedia,44
u08042,Drama,81
u00342,Accion,94
u02075,Drama,135
u07993,Accion,118
u00646,Accion,117
u04264,Accion,103
u08802,Documental,37
u06137,Accion,35
u08647,Terror,88
u09901,Suspenso,121
u02970,Comedia,58
u03029,Terror,91
u07644,Comedia,64
u02682,Drama,107
u03630,Romance,122
u04226,Accion,180
u03068,Comedia,61
u05942,Accion,136
u01387,Drama,151
u02867,Terror,85
u04789,Documental,117
u05491,Accion,53
u04125,Accion,56
u08341,Accion,106
u03851,Documental,99
u05416,Comedia,44
u07680,Comedia,33
u06820,Terror,64
u09329,Accion,130
u08379,Comedia,52
u09443,Accion,153
u01334,Documental,5
u04151,Comedia,15
u06767,Comedia,49
u02712,Drama,47
u04854,Accion,118
u06213,Drama,140
u07480,Comedia,5
u05409,Accion,171
u09978,Drama,150
u07716,Documental,83
u08943,Suspenso,72
u01763,Documental,5
u07102,Romance,72
u07675,Suspenso,78
u06123,Comedia,77
u00482,Terror,100
u00154,Comedia,44
u07618,Comedia,38
u01525,Suspenso,94
u02121,Accion,98
u02344,Comedia,36
u05137,Romance,100
u05761,Terror,93
u01241,Accion,130
u00061,Accion,52
u09131,Drama,111
u01640,Suspenso,157
u06186,Suspenso,75
u07971,Comedia,18
u01253,Accion,145
u04204,Suspenso,90
u08364,Romance,71
u09651,Comedia,77
u03550,Accion,151
u04198,Drama,136
u07010,Accion,111
u06668,Drama,95
u02323,Accion,120
u09829,Drama,120
u04091,Drama,55
u06961,Comedia,43
u03005,Suspenso,97
u05137,Comedia,46
u00330,Accion,81
u03641,Comedia,40
u07983,Documental,63
u04108,Suspenso,96
u01342,Comedia,91
u08408,Accion,132
u00339,Drama,142
u05896,Drama,85
u02709,Romance,107
u01751,Drama,81
u05605,Suspenso,68
u02422,Terror,69
u07120,Accion,168
u08902,Romance,74
u05320,Accion,70
u06610,Comedia,44
u05388,Suspenso,53
u03994,Documental,75
u08681,Comedia,29
u08045,Comedia,44
u08239,Drama,119
u04874,Drama,114
u04807,Terror,97
u08593,Suspenso,91
u05914,Documental,98
u07125,Suspenso,174
u03158,Comedia,32
u00391,Comedia,67
u04431,Drama,130
u08821,Terror,96
u07687,Accion,76
u04233,Comedia,5
u08008,Accion,131
u01522,Drama,146
u09019,Accion,68
u01501,Drama,53
u06738,Comedia,42
u03295,Comedia,57
u05086,Drama,115
u02420,Comedia,96
u09127,Comedia,28
u03043,Drama,140
u04498,Accion,135
u01467,Comedia,38
u03562,Accion,87
u00615,Accion,85
u05393,Accion,169
u07694,Accion,135
u09375,Comedia,51
u03224,Drama,83
u07139,Suspenso,117
u02668,Drama,70
u07981,Drama,178
u00131,Accion,142
u02984,Comedia,75
u04279,Terror,85
u07127,Comedia,31
u08231,Drama,147
u07695,Drama,138
u06641,Comedia,30
u05469,Drama,152
u00921,Accion,170
u07565,Terror,114
u08685,Accion,96
u09324,Accion,82
u08503,Suspenso,123
u08931,Drama,110
u03242,Accion,150
u00546,Drama,124
u04347,Comedia,5
u09997,Comedia,5
u03811,Suspenso,106
u07207,Comedia,48
u09006,Comedia,28
u02033,Romance,80
u08437,Accion,143
u00272,Accion,83
u03512,Accion,92
u01772,Accion,95
u09455,Accion,197
